0,1,2,3,4
0.0,2.0,13.418296034103,77.448974609375,0.0
0.0,1.0,19.098331205345307,77.448974609375,0.0
1.0,2.0,6.207861242064092,77.448974609375,0.0
1.0,0.0,19.098331205345307,77.448974609375,0.0
2.0,1.0,6.207861242064092,77.448974609375,0.0
2.0,0.0,13.418296034103,77.448974609375,0.0
3.0,5.0,18.80777194942325,108.20086669921875,1.0
3.0,4.0,21.325957716013285,108.20086669921875,1.0
4.0,5.0,13.966704517219629,108.20086669921875,1.0
4.0,3.0,21.325957716013285,108.20086669921875,1.0
5.0,4.0,13.966704517219629,108.20086669921875,1.0
5.0,3.0,18.80777194942325,108.20086669921875,1.0
6.0,8.0,10.479849268168916,87.12556457519531,2.0
6.0,7.0,21.24279651744123,87.12556457519531,2.0
7.0,8.0,11.840136315719382,87.12556457519531,2.0
7.0,6.0,21.24279651744123,87.12556457519531,2.0
8.0,6.0,10.479849268168916,87.12556457519531,2.0
8.0,7.0,11.840136315719382,87.12556457519531,2.0
9.0,10.0,14.483600415293804,161.2890167236328,3.0
9.0,11.0,26.779329341195698,161.2890167236328,3.0
10.0,9.0,14.483600415293804,161.2890167236328,3.0
10.0,11.0,39.381577150360116,161.2890167236328,3.0
11.0,9.0,26.779329341195698,161.2890167236328,3.0
11.0,10.0,39.381577150360116,161.2890167236328,3.0
12.0,14.0,18.914788788930963,140.80409240722656,4.0
12.0,13.0,26.20372703884932,140.80409240722656,4.0
13.0,14.0,25.283529579219575,140.80409240722656,4.0
13.0,12.0,26.20372703884932,140.80409240722656,4.0
14.0,12.0,18.914788788930963,140.80409240722656,4.0
14.0,13.0,25.283529579219575,140.80409240722656,4.0
15.0,17.0,7.275965498380045,114.9598159790039,5.0
15.0,16.0,21.828783538746812,114.9598159790039,5.0
16.0,15.0,21.828783538746812,114.9598159790039,5.0
16.0,17.0,28.375160615671433,114.9598159790039,5.0
17.0,15.0,7.275965498380045,114.9598159790039,5.0
17.0,16.0,28.375160615671433,114.9598159790039,5.0
18.0,20.0,14.73838020358979,111.64657592773438,6.0
18.0,19.0,22.592786240193565,111.64657592773438,6.0
19.0,20.0,18.49212179312208,111.64657592773438,6.0
19.0,18.0,22.592786240193565,111.64657592773438,6.0
20.0,18.0,14.73838020358979,111.64657592773438,6.0
20.0,19.0,18.49212179312208,111.64657592773438,6.0
21.0,22.0,22.76383045835696,137.5458526611328,7.0
21.0,23.0,27.93095880286498,137.5458526611328,7.0
22.0,23.0,18.078135853575443,137.5458526611328,7.0
22.0,21.0,22.76383045835696,137.5458526611328,7.0
23.0,22.0,18.078135853575443,137.5458526611328,7.0
23.0,21.0,27.93095880286498,137.5458526611328,7.0
24.0,25.0,14.177132605279251,173.39271545410156,8.0
24.0,26.0,33.134300030723935,173.39271545410156,8.0
25.0,24.0,14.177132605279251,173.39271545410156,8.0
25.0,26.0,39.38492491080575,173.39271545410156,8.0
26.0,24.0,33.134300030723935,173.39271545410156,8.0
26.0,25.0,39.38492491080575,173.39271545410156,8.0
